"PeakDayNum","FirstDayNum"
276,54.94916
434,69.05209
418,53.32892
101,57.24885
101,78.05096
97,88.00001
40,39.85092
438,73.00013
381,59.34942
108,51.05917
97,72.95134
90,73.04925
92,11.85092
103,58.10085
368,76.249
110,50.6844
168,66.34906
439,74.75044
42,6.949583
200,56.44924
308,19.45
448,83.0489
102,74.84903
143,76.14952
91,66.04904
213,69.05067
93,93
419,54.25118
90,90
103,23.29278
94,87.99963
84,68.14965
433,68.05036
104,68.65091
376,86.75098
455,90.85168
179,80.0005
86,25.02657
424,59.64766
296,72.84834
438,73.04943
431,78.65071
107,55.3045
405,40.75091
40,31.95046
108,70.35081
175,74.05102
408,68.55097
413,48.5509
431,66.54932
109,50.05405
374,66.58217
93,74.00056
341,69.14934
417,52.05068
103,37.85557
55,29.34925
145,80.75083
94,84.95068
278,52.07366
440,75.05096
183,43.05088
327,78.54921
163,75.04495
81,81
415,50.44946
91,73.74929
245,72.14922
150,94.64982
83,64.25091
79,79
389,24.14896
195,14.22284
97,66.34987
73,73
39,-4.150664
225,73.94989
338,76.24988
38,23.05061
187,56.8509
96,10.051
438,74.24907
99,64.01182
422,57.05083
91,75.44917
82,82
94,64.64561
40,31.85073
42,18.94926
289,74.15001
85,85
437,72.15022
43,20.64934
223,74.99951
41,22.25076
439,74.64993
43,22.00012
210,22.24995
41,31.85041
95,65.24936
441,76.25
97,22.05053
48,-10.55027
40,30.95094
108,63.15057
95,52.92788
280,28.52511
304,59.44905
265,24.05015
96,10.42267
100,51.6509
320,49.18579
232,80.05052
404,39.24008
370,5.377024
133,71.76508
233,13.65
42,34.851
39,37.85078
41,23.05078
92,61.24906
278,68.34933
438,73.34924
71,22.00001
199,84.15082
412,47.94913
440,75.35076
428,79.75082
414,49.94966
401,36.01213
39,22.25056
107,75.85069
162,83.3492
89,63.99998
184,55.25088
411,46.05027
99,22.05031
103,67.04994
458,92.95073
98,11.38443
433,68.00077
276,84.65096
416,51.39976
94,67.05066
438,73.9494
102,70.79981
333,76.05079
192,51.7189
301,67.2494
103,57.14933
191,68.55037
101,76.85071
438,73.45049
250,52.65025
277,79.4502
308,87.95055
101,70.14929
290,24.99991
423,58.051
441,76.85033
393,28.349
99,55.92314
100,78.9491
442,77.74993
355,58.94968
43,24.3501
268,53.73627
98,59.74468
398,33.25029
187,46.15099
201,36.65109
433,68.24928
111,65.15
317,69.05094
106,61.21388
394,29.36779
407,42.36263
404,39.64933
186,55.96894
36,26.74921
94,28.7898
100,70.99968
338,52.62207
187,32.56253
98,68.38045
95,64.05
85,85
97,73.45092
150,96
439,74.24903
244,57.05124
461,96.78439
337,58.45095
372,62.95021
429,64.65058
74,74
40,27.0507
48,29.75038
360,-4.350616
202,23.05087
44,23.65052
114,91
193,-46.05
386,79.65017
415,50.14978
430,65.1496
359,72.95093
422,57.64982
93,31.99994
113,93.84961
372,7.05094
387,22.78337
99,68.65098
441,76.74902
90,73.64922
388,23.72749
93,8.1082
237,81.24974
97,19.34262
160,76.05082
250,59.34957
98,16.85089
42,21.99999
30,30
130,81.05088
102,65.64934
97,65.85734
326,55.33824
254,38.23824
329,87.05
97,77.94901
225,59.74962
189,-6.050722
395,30.54041
93,77.95099
231,7.949997
228,74.54958
95,74.45086
93,23.61014
91,23.00047
225,62.05084
94,60
457,92.15009
45,22.99999
38,11.85001
92,78.15003
41,32.35084
245,79.64952
